id,name,district,state_id,is_display
588,Ghaziabad,Ghaziabad,33,1
589,Lucknow,Lucknow,33,1
590,Raebareli,Raebareli,33,1
591,Sitapur,Sitapur,33,1
592,Sultanpur,Sultanpur,33,1
593,Almora,Almora,34,1
594,Bageshwar,Bageshwar,34,1
595,Chamoli,Chamoli,34,1
596,Rudraprayag,Rudraprayag,34,1
597,Dehradun,Dehradun,34,1
598,Nainital,Nainital,34,1
599,"Udham Singh Nagar","Udham Singh Nagar",34,1
600,Champawat,Champawat,34,1
601,"Pauri Garhwal","Pauri Garhwal",34,1
602,Pithoragarh,Pithoragarh,34,1
603,"Tehri Garhwal","Tehri Garhwal",34,1
604,Uttarkashi,Uttarkashi,34,1
605,Kolkata,Kolkata,35,1
606,"North 24 Parganas","North 24 Parganas",35,1
607,"South 24 Parganas","South 24 Parganas",35,1
608,Birbhum,Birbhum,35,1
609,Murshidabad,Murshidabad,35,1
610,Nadia,Nadia,35,1
611,"South Andaman","South Andaman",1,1
612,Nicobar,Nicobar,1,1
613,"North And Middle Andaman","North And Middle Andaman",1,1
614,"Cooch Behar","Cooch Behar",35,1
615,Jalpaiguri,Jalpaiguri,35,1
616,Darjiling,Darjiling,35,1
617,Malda,Malda,35,1
618,"North Sikkim","North Sikkim",30,1
619,"East Sikkim","East Sikkim",30,1
620,"West Sikkim","West Sikkim",30,1
621,"South Sikkim","South Sikkim",30,1
622,"South Dinajpur","South Dinajpur",35,1
623,"North Dinajpur","North Dinajpur",35,1
624,Bardhaman,Bardhaman,35,1
625,Bankura,Bankura,35,1
626,"East Midnapore","East Midnapore",35,1
627,"West Midnapore","West Midnapore",35,1
628,Hooghly,Hooghly,35,1
629,Howrah,Howrah,35,1
630,Medinipur,Medinipur,35,1
631,Puruliya,Puruliya,35,1
632,Thoothukudi,Thoothukudi,31,1
732,banglore,,,1
733,Hoshirpur,,,1
734,rajpura,,,1
735,delhi,,,1
736,ahmeda,,,1
737,Vasco,,,1
738,chenn,,,1
739,"electronic city phase 1,Bangalore",,,1
740,India,,,1
741,Chenna,,,1
742,hyd,,,1
743,"Port Blair","Port Blair",1,1
744,Vijayawada,Vijayawada,2,1
745,Rajahmundry,Rajahmundry,2,1
746,Kakinada,Kakinada,2,1
747,Tirupati,Tirupati,2,1
748,Anantapur,Anantapur,2,1
749,Kadapa,Kadapa,2,1
750,Eluru,Eluru,2,1
751,Ongole,Ongole,2,1
752,Nandyal,Nandyal,2,1
753,Machilipatnam,Machilipatnam,2,1
754,Adoni,Adoni,2,1
755,Tenali,Tenali,2,1
756,Hindupur,Hindupur,2,1
757,Proddatur,Proddatur,2,1
758,Bhimavaram,Bhimavaram,2,1
759,Madanapalle,Madanapalle,2,1
760,Guntakal,Guntakal,2,1
761,Dharmavaram,Dharmavaram,2,1
762,Gudivada,Gudivada,2,1
763,Narasaraopet,Narasaraopet,2,1
764,Rajampet,Rajampet,2,1
765,Tadpatri,Tadpatri,2,1
766,Tadepalligudem,Tadepalligudem,2,1
767,Chilakaluripet,Chilakaluripet,2,1
768,Yemmiganur,Yemmiganur,2,1
769,Kadiri,Kadiri,2,1
770,Chirala,Chirala,2,1
771,Anakapalle,Anakapalle,2,1
772,Kavali,Kavali,2,1
773,Palacole,Palacole,2,1
774,Sullurpeta,Sullurpeta,2,1
775,Tanuku,Tanuku,2,1
776,Rayachoti,Rayachoti,2,1
777,Srikalahasti,Srikalahasti,2,1
778,Bapatla,Bapatla,2,1
779,Naidupet,Naidupet,2,1
780,Nagari,Nagari,2,1
781,Gudur,Gudur,2,1
782,Vinukonda,Vinukonda,2,1
783,Narasapuram,Narasapuram,2,1
784,Nuzvid,Nuzvid,2,1
785,Markapur,Markapur,2,1
786,Ponnur,Ponnur,2,1
787,Kandukur,Kandukur,2,1
788,Bobbili,Bobbili,2,1
789,Rayadurg,Rayadurg,2,1
790,Samalkot,Samalkot,2,1
791,Jaggaiahpet,Jaggaiahpet,2,1
792,Tuni,Tuni,2,1
793,Amalapuram,Amalapuram,2,1
794,Bheemunipatnam,Bheemunipatnam,2,1
795,Venkatagiri,Venkatagiri,2,1
796,Sattenapalle,Sattenapalle,2,1
797,Pithapuram,Pithapuram,2,1
798,"Palasa Kasibugga","Palasa Kasibugga",2,1
799,Parvathipuram,Parvathipuram,2,1
800,Macherla,Macherla,2,1
801,Gooty,Gooty,2,1
802,Salur,Salur,2,1
803,Mandapeta,Mandapeta,2,1
804,Jammalamadugu,Jammalamadugu,2,1
805,Peddapuram,Peddapuram,2,1
806,Punganur,Punganur,2,1
807,Nidadavole,Nidadavole,2,1
808,Repalle,Repalle,2,1
809,Ramachandrapuram,Ramachandrapuram,2,1
810,Kovvur,Kovvur,2,1
811,Tiruvuru,Tiruvuru,2,1
812,Uravakonda,Uravakonda,2,1
813,Narsipatnam,Narsipatnam,2,1
814,Yerraguntla,Yerraguntla,2,1
815,Pedana,Pedana,2,1
816,Puttur,Puttur,2,1
817,Renigunta,Renigunta,2,1
818,Rajam,Rajam,2,1
819,"Srisailam Project (Right Flank Colony) Township","Srisailam Project (Right Flank Colony) Township",2,1
820,Naharlagun,Naharlagun,3,1
821,Pasighat,Pasighat,3,1
822,Guwahati,Guwahati,4,1
823,Silchar,Silchar,4,1
824,"Bongaigaon City","Bongaigaon City",4,1
825,Diphu,Diphu,4,1
826,"North Lakhimpur","North Lakhimpur",4,1
827,Tezpur,Tezpur,4,1
828,Lanka,Lanka,4,1
829,Lumding,Lumding,4,1
830,Mankachar,Mankachar,4,1
831,Rangia,Rangia,4,1
832,Margherita,Margherita,4,1
833,Mangaldoi,Mangaldoi,4,1
834,Silapathar,Silapathar,4,1
835,Mariani,Mariani,4,1
836,Arrah,Arrah,5,1
837,Chhapra,Chhapra,5,1
